MKTPLANEXTRAFILES	3045598	0.18	07-MAY-26	303668	0	393	0	15	0	BOTH AGREE ? ACTIVE
MKTPLANVERSIONINFO	3076705	0.17	07-MAY-26	19412	0	7	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTPLANREGLOCALEPIVOTALTEST	1633795	0.16	07-MAY-26	142795	0	0	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTPLANLOCALE_P	859250	0.16	02-SEP-21	50710	0	25	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
EQUIPMENT	760278	0.16	10-MAR-26	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTUNITPARAMETERDAILY	639412	0.14	07-MAY-26	22424	0	11243	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTUNITBIDDMTLOG	890782	0.13	07-MAY-26	10768	0	0	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTPLANLOCALEPRODUCT_P	1031100	0.13	02-SEP-21	60840	0	30	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTRTTRANSACTION	1030292	0.13	07-MAY-26	35369	0	34677	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTPLANCONTROLAREA	1930597	0.13	09-APR-20	107184	0	38	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
REGLOCCASEDATA_TEMP	4032	0.13	27-JAN-17	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTSAVECASEBRANCH	1529947	0.12	09-MAR-26	59371	0	0	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
LPCBORUNITHRLY_102413	558460	0.11	27-JAN-17	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTCOPINTERVAL	1190444	0.1	26-MAY-20	87672	0	22652	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTPLANSUMMARY_P	180506	0.1	02-SEP-21	1048	0	0	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTUNITREG	1062459	0.09	07-MAY-26	50094	0	25339	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTDMTLOG_12052013	454329	0.09	29-DEC-18	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTPLANPNODE_04262017	440638	0.09	16-OCT-17	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTPARTICIPANTDACREDITSMRY	8399	0.09	07-MAY-26	8402	0	8399	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
LPCBORUNITHRLY_031114	428590	0.09	27-JAN-17	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MV_MKTPLAN_APPROVED	2966424	0.09	07-MAY-26	161777	1443	59715	0	65	826480	BOTH AGREE ? ACTIVE
MKTPRDHOURLY	426252	0.09	07-MAY-26	1485	0	845	0	0	0	DML TRACKED ? V$ SHOWS NOTHING
MKTUNITHOURLY_021213	495500	0.09	27-JAN-17	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTLOCALEAGGRHOURLY	620865	0.08	07-MAY-26	9084	0	876	0	1	0	BOTH AGREE ? ACTIVE
MKTFLOWGATEHOURLY	465238	0.07	29-DEC-18	0	0	0	0	0	0	BOTH AGREE ? DORMANT
MKTAEPEVENTATTRIBUTE	1018238	0.07	07-MAY-26	54707	0	0	0	35	32	BOTH AGREE ? ACTIVE
